Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-Jan-23,2381.95,2388.05,2312.1,2337.75,2334.590938,452582,59632,1056593836,246365,54.44,75.95,-44.2
25-Jan-23,2410,2414.8,2381,2382.95,2393.973382,103914,14987,248767350,58915,56.7,33.8,-27.05
24-Jan-23,2432.5,2443.9,2388.65,2415.15,2417.967222,349349,15122,844714431,250814,71.79,55.25,-17.35
23-Jan-23,2450,2466,2426,2429.6,2441.525381,213860,19969,522144618,70364,32.9,40,-20.4
20-Jan-23,2481.7,2481.7,2438.1,2442.7,2454.859676,174012,11317,427175042,109256,62.79,43.6,-39
19-Jan-23,2474.2,2480.95,2457.5,2471.1,2474.386663,201558,11803,498732427,142838,70.87,23.45,-3.1
18-Jan-23,2479,2491.5,2460.45,2474.6,2479.727199,126814,7526,314464125,77842,61.38,31.05,-4.4
17-Jan-23,2453.15,2483.5,2452,2478.55,2466.1152,186970,13442,461089559,78640,42.06,31.5,25.4
16-Jan-23,2474.9,2479.75,2436.05,2444.7,2454.488808,140006,10360,343643160,91129,65.09,43.7,-30.2
13-Jan-23,2468.6,2473.2,2434.8,2467.35,2453.151561,248982,25804,610790582,120974,48.59,38.4,-1.25
12-Jan-23,2525,2531.9,2465.65,2472.1,2486.411885,185343,16171,460839038,115683,62.42,66.25,-52.9
11-Jan-23,2555.2,2558.2,2522,2525.5,2534.780641,127795,11916,323932292,85024,66.53,36.2,-29.7
10-Jan-23,2604.05,2605,2546.05,2557.95,2571.373593,152642,12735,392499608,93407,61.19,58.95,-46.1
09-Jan-23,2543.7,2601.8,2539.1,2596.55,2582.897136,298492,22874,770974132,190749,63.9,62.7,52.85
06-Jan-23,2529,2547.5,2518.65,2537.25,2535.070145,113594,11000,287968758,57740,50.83,28.85,8.25
05-Jan-23,2525,2536,2504.25,2513.5,2515.544678,143907,9677,362004488,85740,59.58,31.75,-11.5
04-Jan-23,2559,2559.6,2514.85,2518.15,2530.522576,172926,12141,437593147,128295,74.19,44.75,-40.85
03-Jan-23,2567.7,2573,2548.05,2557,2558.559681,136124,13214,348281378,87348,64.17,24.95,-10.7
02-Jan-23,2556.9,2580,2548.2,2575.15,2565.037495,174612,14042,447886327,98899,56.64,31.8,18.25
30-Dec-22,2547,2576.9,2542.55,2548.2,2560.573073,77470,7964,198367596,18712,24.15,34.35,1.2
29-Dec-22,2532.05,2549,2526.5,2542.55,2536.476649,157229,13560,398807687,103570,65.87,22.5,10.5
28-Dec-22,2535.9,2549.9,2521.25,2544.45,2537.520509,168925,13441,428650652,105693,62.57,28.65,8.55
27-Dec-22,2529,2548.8,2514.35,2545.05,2534.556939,184837,18372,468479901,91598,49.56,34.45,16.05
26-Dec-22,2513.7,2542.05,2493.95,2524.5,2522.321151,95382,7874,240584036,28581,29.96,48.1,10.8
23-Dec-22,2564,2589.75,2493,2501.55,2541.28754,307147,38425,780548844,157324,51.22,96.75,-62.45
22-Dec-22,2595.2,2606.65,2565.9,2577.9,2583.664125,93106,9175,240554632,32813,35.24,40.75,-17.3
21-Dec-22,2622,2633.6,2576.35,2584.4,2602.003754,77509,8722,201678709,27381,35.33,57.25,-37.6
20-Dec-22,2593.95,2626,2566.6,2621.15,2592.252181,129098,12996,334654572,47647,36.91,59.4,27.2
19-Dec-22,2583.95,2603.25,2567.7,2600,2583.293001,67621,6588,174684856,19050,28.17,35.55,16.05
16-Dec-22,2570,2619,2558.1,2565.1,2591.142753,169510,18159,439224608,51096,30.14,60.9,-4.9
15-Dec-22,2609.5,2614.9,2571,2578.75,2586.912955,95215,7713,246312917,51216,53.79,43.9,-30.75
14-Dec-22,2631.2,2639.5,2611,2614.9,2621.790092,42452,5302,111300233,15669,36.91,28.5,-16.3
